"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
U20 Elite;Série finale;03/03/2024;18:30;Gap - Alp'Arena;93006S - GAP / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M ROMMEVAUX Mikaël;M AUMERAS Benjamin;;;;M TCHEKACHEV David;
U17 Excellence;Saison régulière zone Sud-est;03/03/2024;18:40;Lyon - Charlemagne;E0123 - HCLR / E0195 - VAUJANY - GRENOBLE;;;M MALFONDET Stefan;;;;M POUSSIERE Jonathan
U20 Excellence;Zone Nord-est IDF;03/03/2024;18:40;Meudon-la-Forêt - Patinoire municipale;E0031 - MHC-ACBB U20 Excellence / E0219 - NEUILLY - REIMS;;;M THOMAS David;;;;M DEHONT Anthony
U20 Elite;Série finale;03/03/2024;19:00;Chamonix - Richard Bozon;E0003 - HC74 U20 Elite / 11013 - CERGY-PONTOISE;M GEORGE Yohan;M RIVOIRE Tifaine;;;;M BAUDRY Florian;
U20 Elite;Saison régulière;03/03/2024;19:00;Grenoble - Polesud;82007S - U20 Bruleurs de Loups Grenoble / 25001 - Caen U20 Elite;M GERMANEAUD Bastien;M EDERY Frédéric;;;;M DONAT-MAGNIN Alexandre;
Division 3;Saison régulière;04/03/2024;20:50;Dammarie-les-Lys - La Cartonnerie;11025 - EVH 91 / 11005 - Caribous de Dammarie-lès-Lys;;;M KOUROUMA Sakoba;;;;M PITROU Thomas
U15;Zone Sud-est Saison régulière;06/03/2024;17:20;Grenoble - Polesud;82007 - GRENOBLE 2 / 93006 - GAP 2;;;;;;;
U17 Elite;Saison régulière;06/03/2024;18:30;Saint-Gervais;E0003 - HC74 U17 Elite / 82007 - BRÛLEURS DE LOUPS U17 ELITE;M BERGAMELLI Viny;M BERGAMELLI Enzo;;;;M BAUDRY Florian;
Matchs amicaux U17;Matchs amicaux U17;06/03/2024;19:45;Caen La Mer;25001 - Caen U17 Elite / 11111 - Maquis du Mont Saint Anne;;;M PIEDIGROSSI Nicolas;;;;M HATTON Thomas
U17 Elite;Saison régulière;06/03/2024;20:20;Angers IceParc;52007 - ANGERS U17 ELITE / 23001 - Rouen U17;M TELLIEZ Pascal;M TOCQUEVILLE Florian;;;;M MAUDET Timothée;
Matchs amicaux U17;Matchs amicaux U17;07/03/2024;20:15;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 11111 - Maquis du Mont Saint Anne;;;M ROCHIER Philippe;;;;M DEHONT Anthony
Division 1;Saison régulière;08/03/2024;19:50;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / E0127 - Strasbourg Etoile Noire;M METAIS Jérémy;M LE MONNIER Julien;;;;M BAUDOIN Charles;
Synerglace Ligue Magnus;Poule de maintien;08/03/2024;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 93006S - RAPACES DE GAP;M LEVASSEUR Sébastien;M GIELLY Guillaume;;;M PEYRE Julien;M CREUX-BEAUGIRAUD Yohann;
Synerglace Ligue Magnus;Phase finale pour le titre;08/03/2024;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 93008S - NICE SLM;M DEHAEN Pierre;M SIMON Thomas;;;M FURET Yann;M UGOLINI Quentin;
Synerglace Ligue Magnus;Poule de maintien;08/03/2024;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 72001S - ANGLET HORMADI Ligue MAGNUS;M SCOLARI Benjamin;M MARGRY Gwilherm;;;M RAULINE Jérémy;Mme CHEYROUX Alexia;
Synerglace Ligue Magnus;Phase finale pour le titre;08/03/2024;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 22001S - AMIENS HOCKEY ELITE;M BARCELO Geoffrey;M BRIOLAT Eric;;;M FROSSARD Philippe;M ZEDE Vincent;
Synerglace Ligue Magnus;Phase finale pour le titre;08/03/2024;20:15;Bordeaux - Mériadeck;72003S - Boxers de Bordeaux / 93019S - MARSEILLE HOCKEY CLUB;M CREGUT Nicolas;M FAUVEL Johan;;;M BARCELO Joris;M CONSTANTINEAU Nicolas;
Synerglace Ligue Magnus;Phase finale pour le titre;08/03/2024;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 11013S - LES JOKERS SLM;M BLIEK Damien;M CAILLOT Thomas;;;M BARBEZ Nicolas;M LABOULAIS Maxime;
U17 Excellence;Saison régulière zone Sud-est;09/03/2024;11:15;Vaujany - Patinoire du pôle sports et loisirs;E0195 - VAUJANY - GRENOBLE / E0123 - HCLR;;;M BRONDEX Eric;;;;M POUSSIERE Jonathan
U20 Elite;Série finale;09/03/2024;11:40;Angers IceParc;52007 - ANGERS U20 ELITE / 23001S - 23001S ROUEN HOCKEY ELITE 76;M AURAT Florian;M RANDRIANARIVO Dominique;;;;M RIVOIRE Tifaine;
U15;Zone Ouest conférence C;09/03/2024;12:00;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U15 A / E0212 - Brive - Limoges;;;;;;;
U17 Elite;Saison régulière;09/03/2024;15:00;Grenoble - Polesud;82007 - BRÛLEURS DE LOUPS U17 ELITE / 23001 - Rouen U17;M GOLICIC Bostjan;M SALICIO Olivier;;;;M EDERY Frédéric;
Division 2;Série finale pour le titre;09/03/2024;15:00;Rouen - Île Lacroix;23001 - Rouen Division 2 / 82018 - ROANNE D2;M TELLIEZ Pascal;Mme BOURDON Gaëlle;;;;M THIERCY Damien;
U17 Elite;Série finale pour le titre;09/03/2024;15:35;Amiens - Le Coliseum;22001 - HCAS U 17 / E0123 - HCLR U17;M LAPAQUE François;M PITROU Thomas;;;;M DUVILLE Guillaume;
U15;Zone Nord-est PO poule basse;09/03/2024;16:30;Cergy - Aren'Ice;82024 - POLE FRANCE / 11013 - U15 A CERGY;;;M BAUERLE Damien;;;;M ROCHIER Philippe
U17 Elite;Série finale pour le titre;09/03/2024;17:35;Caen La Mer;25001 - Caen U17 Elite / E0032 - Entente Alsace U17 Elite;Mme PERONNIN Laura;M FAFRED Bastien;;;;M PERONNIN Théo;
Division 1;Saison régulière;09/03/2024;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 82004S - Éléphants CHAMBERY D1;M FESSIER Samuel;M HONORE Romain;;;;M THIBOUVILLE Enguerrand;
Division 1;Saison régulière;09/03/2024;18:05;Épinal - Poissompré;41002 - Division 1 Epinal / 31004 - D2 Valenciennes;M THORRIGNAC Jason;Mme TORRIBIO ROUSSELIN Sueva;;M DURAND Gilles;;Mme BONIFACE Anne-Sophie;
U17 Elite;Série finale pour le titre;09/03/2024;18:10;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 93006 - RAPACES DE GAP U17;M GARBAY Laurent;M PRAGOUT Maxime;;;;M DAMONGEOT Batiste;
Division 1;Saison régulière;09/03/2024;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / 25001 - Caen Division 1;M COLLIN Jérémie;M LE MONNIER Julien;;M BOCQUET Didier;M BOURREAU Alexandre;M MERCIER-LANDRY Pierre;
Division 3;Play-offs;09/03/2024;18:15;Avignon - Patinoire municipale;93016 - Les Castors d'Avignon / 11019 - Comètes de Meudon;;;M VAISSAIRE Laurent;;;;M HEMMERY Frédéric
Synerglace Ligue Magnus;Phase finale pour le titre;09/03/2024;18:15;Bordeaux - Mériadeck;72003S - Boxers de Bordeaux / 93019S - MARSEILLE HOCKEY CLUB;M CREGUT Nicolas;M CONSTANTINEAU Nicolas;;;M BARCELO Joris;M FAUVEL Johan;
U20 Elite;Série finale;09/03/2024;18:30;Orcières - patinoire du complexe de loisirs et de détente;93006S - GAP / 42003 - Strasbourg U20 élite;M ROMMEVAUX Mikaël;M BERGAMELLI Enzo;;;;M TCHEKACHEV David;
Division 2;Série finale pour le titre;09/03/2024;18:30;La-Roche-sur-Yon - Arago;52004 - 52004 - La Roche sur Yon / 73002 - TOULOUSE BLAGNAC;M HERRAULT Romain;M HASPOT David;;;;M CADY Quentin;
Division 1;Saison régulière;09/03/2024;18:30;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE DIVISION 1 / 52002 - DOGS DE CHOLET;M METAIS Jérémy;M THIEBAULT Leevan;;;M ICARD Damien;M KIRSCHENBAUM Johan;
Division 2;Série finale pour le titre;09/03/2024;18:55;Paris Bercy - Sonja Henie;11007 - D2 Français Volants / 82015 - LYON DIVISION 2;M DOUCHY Jérémie;M MESSIER Nicolas;;;;M TOCQUEVILLE Florian;
U17 Excellence;Saison régulière Est;09/03/2024;19:00;Dijon - Trimolet;E0130 - BESANCON - DIJON / E0131 - LUXEMBOURG - AMNEVILLE - METZ;;;M BERGERON Nicolas;;;;M MONCOZET Christophe
Division 2;Poule de maintien;09/03/2024;19:00;Amiens - Le Coliseum;22001S - 22001S AMIENS 2 / 82021 - V.H.G. Valence;M LE BERRE Frédéric;M DEBUCQUET Antoine;;;;M MAILLARD Hugo;
Division 2;Série finale pour le titre;09/03/2024;19:00;Montpellier - Vegapolis;91003 - Vipers D2 / 41004 - Division 2 Amneville;M ROBERT Florian;M NORDMAN Leif;;;;M DESSOLAIN Franck;
Division 2;Série finale pour le titre;09/03/2024;19:00;Vaujany - Patinoire du pôle sports et loisirs;E0122 - VAUJANY-GRENOBLE / 21005 - REIMS;M GEOFFROY Sébastien;M DONAT-MAGNIN Alexandre;;;;M BAUDRY Florian;
Division 3;Play-offs;09/03/2024;19:15;Nice - Jean Bouin;93008 - NICE D3 / 11005 - Caribous de Dammarie-lès-Lys;;;M HAGOPIAN Didier;;;;M GARNERET Matthieu
Division 1;Saison régulière;09/03/2024;19:30;Dunkerque - Michel Raffoux;E0231 - DUNKERQUE / E0065 - HCMA D1;M SALMON Charles Edouard;M SMEECKAERT Aurélien;;M HAUCHART Alexandre;;M GISSLER Louis;
U15;Zone Ouest conférence A;09/03/2024;19:30;Blagnac Toulouse - Jacques Raynaud;E0078 - TBM U15 / 52002 - CHOLET;;;;;;;
Division 1;Saison régulière;09/03/2024;19:30;Saint-Gervais;E0066 - Mont-Blanc les Yetis / 24007 - LES REMPARTS DE TOURS Division 1;M GONCALVES Clément;M AUMERAS Benjamin;;;M PEURIERE Frédéric;M ZEDE Vincent;
Division 2;Poule de maintien;09/03/2024;19:30;Colmar - Patinoire municipale;E0041 - Titans D2 / 83001 - HCCA Les Sangliers Arvernes;M GARDIOL Guillaume;M BERGAMELLI Viny;;;;M NEURAZ Steven;
Division 3;Interclassement;09/03/2024;20:00;Briançon - René Froger;93003 - Diables rouges D3 / 99001 - Tornado Luxembourg asbl;;;M CATARINO Jean;;;;M HURTH Fabrice
Synerglace Ligue Magnus;Phase finale pour le titre;09/03/2024;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 93008S - NICE SLM;M ERNECQ Adrien;M UGOLINI Quentin;;;M FURET Yann;M SIMON Thomas;
Matchs amicaux féminin;Matchs amicaux féminin;09/03/2024;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS / 82015 - Lyon féminine;;;M HATTON Thomas;;;;
U17 Elite;Série finale pour le titre;09/03/2024;20:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GERMANEAUD Bastien;M GARCIA LIMA Guido;;;;M BONNEFOY Arthur;
Division 1;Saison régulière;09/03/2024;20:00;Brest - Rïnkla Stadium;53001 - Brest Division 1 / E0127 - Strasbourg Etoile Noire;M GASNIER Mickaël;M MAUDET Timothée;;;;M BAUDOIN Charles;
U17 Excellence;Saison régulière NHDF;09/03/2024;20:15;Patinoire des Courtilles;E0224 - ASNIERES - CHAMPIGNY / 11007 - FRANCAIS VOLANTS;;;M KOUROUMA Sakoba;;;;M DEHONT Anthony
Synerglace Ligue Magnus;Phase finale pour le titre;09/03/2024;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 22001S - AMIENS HOCKEY ELITE;M LEVASSEUR Sébastien;M BRIOLAT Eric;;;M BARCELO Geoffrey;M YSSEMBOURG Joffrey;
Synerglace Ligue Magnus;Phase finale pour le titre;09/03/2024;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 11013S - LES JOKERS SLM;M ROHWEDDER Raphaël;M LABOULAIS Maxime;;;M BARBEZ Nicolas;M CAILLOT Thomas;
Division 2;Série finale pour le titre;09/03/2024;20:30;Courbevoie - Thierry Monier;11009 - D2 Courbevoie / 82028 - Annecy Division 2;M DEBUCHE Cyril;M GERMOND Matteo;;;;M BRAUD Tao;
Division 2;Série finale pour le titre;09/03/2024;20:30;Méribel - Parc Olympique Patinoire;E0240 - HCMP / 11025 - 11025 EVH91 Division 2;M GRABIT Alexis;M FONTAINE Gildas;;;;Mme CHEYROUX Alexia;
Division 2;Série finale pour le titre;09/03/2024;20:30;Villard-de-Lans - André Ravix;82022 - VILLARD DE LANS / 52007 - ANGERS 2;M POPA Adrian;M CREUX-BEAUGIRAUD Yohann;;;;M BIOT Thiefen;
U20 Elite;Série finale;09/03/2024;20:30;Caen La Mer;25001 - Caen U20 Elite / E0003 - HC74 U20 Elite;M GEORGE Yohan;M ANDRIANASOLO Louis;;;;M PICARD Gabriel;
U17 Elite;Saison régulière;10/03/2024;11:15;Grenoble - Polesud;82007 - BRÛLEURS DE LOUPS U17 ELITE / 23001 - Rouen U17;M ROMMEVAUX Mikaël;M DERKAOUI Tristan;;;;M TCHEKACHEV David;
U20 Excellence;Zone ouest conférence A;10/03/2024;11:45;Cholet - Glisséo;52002 - CHOLET / E0153 - NIORT - LA ROCHE/YON - NANTES;;;M PETITOUT Matthieu;;;;M CORREIA Aurélien
U17 Elite;Série finale pour le titre;10/03/2024;12:10;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 93006 - RAPACES DE GAP U17;M GARBAY Laurent;M PRAGOUT Maxime;;;;M DAMONGEOT Batiste;
U20 Excellence;Zone sud-est;10/03/2024;12:15;Annecy - Jean Régis;82028 - ANNECY / E0123 - HCLR;;;M BROLIS Frédéric;;;;M MEUNIER Pascal
U17 Elite;Série finale pour le titre;10/03/2024;12:35;Caen La Mer;25001 - Caen U17 Elite / E0032 - Entente Alsace U17 Elite;M GEORGE Yohan;M HONORE Romain;;;;M FAFRED Bastien;
U17 Excellence;Saison régulière NHDF;10/03/2024;12:40;Meudon-la-Forêt - Patinoire municipale;E0031 - ACBB - MEUDON / 11013 - CERGY;;;M DUVILLE Guillaume;;;;M LAPAQUE François
Matchs amicaux féminin;Matchs amicaux féminin;10/03/2024;12:45;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS / 82015 - Lyon féminine;;;M ANTUNES Laurent;;;;
U17 Excellence;Zone ouest saison régulière;10/03/2024;13:35;Angers IceParc;52007 - ANGERS / E0185 - ORLEANS - TOURS;;;M HATTON Thomas;;;;M PFIRTER Robin
U20 Elite;Série finale;10/03/2024;16:30;Angers IceParc;52007 - ANGERS U20 ELITE / 23001S - 23001S ROUEN HOCKEY ELITE 76;M FESSIER Samuel;M RANDRIANARIVO Dominique;;;;M RIVOIRE Tifaine;
U17 Elite;Série finale pour le titre;10/03/2024;16:40;Amiens - Le Coliseum;22001 - HCAS U 17 / E0123 - HCLR U17;M GASNIER Mickaël;M PITROU Thomas;;;;M LE MONNIER Julien;
U17 Elite;Série finale pour le titre;10/03/2024;17:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 82022 - 82022 LES OURS DE VILLARD DE LANS;M HERRAULT Romain;M MAILLARD Hugo;;;;M THIBOUVILLE Enguerrand;
U20 Elite;Série finale;10/03/2024;18:00;Grenoble - Polesud;82007S - U20 Bruleurs de Loups Grenoble / 22001 - HCAS U20;M GRABIT Alexis;M EDERY Frédéric;;;;M MERLE Thomas;
U17 Excellence;Saison régulière NHDF;10/03/2024;18:05;Argenteuil - patinoire municipale;E0203 - FRANCONVILLE - ARGENTUEIL / E0224 - ASNIERES - CHAMPIGNY;;;M PERONNIN Théo;;;;M BONNEFOY Arthur
