"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
Division 3;Saison régulière;28/10/2023;18:00;Besançon - Lafayette;43002 - BESANÇON / 93016 - Les Castors d'Avignon;;;M ROUECHE Laurent;;;;M MEUNIER Pascal
Division 1;Saison régulière;28/10/2023;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 24007 - LES REMPARTS DE TOURS Division 1;M GASNIER Mickaël;M BAUDOIN Charles;;;;M CADY Quentin;
U17 Elite;Saison régulière;28/10/2023;18:05;Clermont-Ferrand;E0123 - HCLR U17 / 93006 - RAPACES DE GAP U17;M LAPAQUE François;M RANDRIANARIVO Dominique;;;;M PRAGOUT Maxime;
Division 1;Saison régulière;28/10/2023;18:05;Épinal - Poissompré;41002 - Division 1 Epinal / E0127 - Strasbourg Etoile Noire;M TURBERT Cédric;M DEBUCHE Cyril;;M DURAND Gilles;M PEURIERE Frédéric;M KIRSCHENBAUM Johan;
Division 1;Saison régulière;28/10/2023;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / E0065 - HCMA D1;M GERMANEAUD Bastien;M SALMON Charles Edouard;;;;M THIBOUVILLE Enguerrand;
Division 3;Saison régulière;28/10/2023;18:15;Orléans - patinoire municipale;24004 - Orléans Division 3 / 11014 - Garges Hockey Club D3;;;M BAUERLE Damien;;;;M MOUILLERON Stéphane
Division 2;Saison régulière;28/10/2023;18:30;Courchevel - Patinoire du Forum;E0240 - HCMP / 82018 - ROANNE D2;M ROBERT Florian;M BERGAMELLI Viny;;;;M SALICIO Olivier;
U17 Elite;Saison régulière;28/10/2023;18:30;Strasbourg - Iceberg;E0032 - Entente Alsace U17 Elite / 25001 - Caen U17 Elite;M THORRIGNAC Jason;M LELIEVRE Thibault;;;;M FLEURY Louis;
Division 2;Saison régulière;28/10/2023;18:30;La-Roche-sur-Yon - Arago;52004 - 52004 - La Roche sur Yon / 11007 - D2 Français Volants;M GARDIOL Guillaume;M LOOS Mathieu;;;;M GISSLER Louis;
Division 1;Saison régulière;28/10/2023;18:30;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE DIVISION 1 / 25001 - Caen Division 1;M FROSSARD Philippe;Mme TORRIBIO ROUSSELIN Sueva;;;;M DELSARTE Alban;
Division 1;Saison régulière;28/10/2023;18:30;Le Palais Megève;E0066 - Mont-Blanc les Yetis / 52002 - DOGS DE CHOLET;M BARCELO Joris;M TCHEKACHEV David;;;;M DONAT-MAGNIN Alexandre;
Division 2;Saison régulière;28/10/2023;19:00;Amiens - Le Coliseum;22001S - 22001S AMIENS 2 / E0041 - Titans D2;M PERONNIN Stéphane;M DEBUCQUET Antoine;;;;Mme BOURDON Gaëlle;
Division 2;Saison régulière;28/10/2023;19:00;Montpellier - Vegapolis;91003 - Vipers D2 / 82028 - Annecy Division 2;M TELLIEZ Pascal;M THIERCY Damien;;M AVAVIAN Julien;;M NORDMAN Leif;
Division 3;Saison régulière;28/10/2023;19:00;Luxembourg - Kockelscheuer;99001 - Tornado Luxembourg asbl / 21002 - Hockey club Châlonnais;;;M STROMBERG Marc;;;;Mme STROMBERG Sarah
Division 2;Saison régulière;28/10/2023;19:00;Courbevoie - Thierry Monier;11009 - D2 Courbevoie / 52007 - ANGERS 2;M BISPO Romain;Mme PERONNIN Laura;;;;M MESSIER Nicolas;
Division 3;Saison régulière;28/10/2023;19:15;Poitiers - patinoire municipale;54002 - Stade Poitevin HC Divison 3 / 72003 - Boxers de Bordeaux D3;;;M ANTUNES Laurent;;;;M HATTON Thomas
Division 2;Saison régulière;28/10/2023;19:30;Lyon - Charlemagne;82015 - LYON DIVISION 2 / 83001 - HCCA Les Sangliers Arvernes;M GRABIT Alexis;M BAUDRY Florian;;;;M LE MONNIER Julien;
Division 2;Saison régulière;28/10/2023;19:30;Reims - Albert 1er;21005 - REIMS / 41004 - Division 2 Amneville;M ROMMEVAUX Mikaël;M HONORE Romain;;;;M MAUDET Timothée;
Division 1;Saison régulière;28/10/2023;20:00;Brest - Rïnkla Stadium;53001 - Brest Division 1 / 82004S - Éléphants CHAMBERY D1;M METAIS Jérémy;M THIEBAULT Leevan;;;;M TRONET Pierre;
Division 3;Saison régulière;28/10/2023;20:00;Caen La Mer;25001 - Caen Division 3 / 24007 - LES REMPARTS DE TOURS Division 3;;;M MARCHAND Antoine;;;;M MALTAVERNE Christian
Division 3;Saison régulière;28/10/2023;20:00;Cholet - Glisséo;52002 - Cholet 2 / 53001 - Brest Division 3;;;M PIEDIGROSSI Nicolas;;;;M GARCIA LIMA Guido
Division 3;Saison régulière;28/10/2023;20:00;Briançon - René Froger;93003 - Diables rouges D3 / 93012 - D3 Toulon;;;M BRONDEX Eric;;;;M VAISSAIRE Laurent
Division 3;Saison régulière;28/10/2023;20:30;Cergy - Aren'Ice;11013 - Cergy Pontoise D3 / 11003 - ASNIERES DIVISION 3;;;M DEHONT Anthony;;;;M DUVILLE Guillaume
Championnat féminin sénior;Saison régulière;28/10/2023;20:30;Gap - Alp'Arena;93019 - Marseille-PACA / 82007 - BRÛLEURS DE LOUPS FÉMININES ELITE;;;M HAGOPIAN Didier;;;;
Division 2;Saison régulière;28/10/2023;20:30;Villard-de-Lans - André Ravix;82022 - VILLARD DE LANS / E0122 - VAUJANY-GRENOBLE;M GEORGE Yohan;M AUMERAS Benjamin;;;;M AMAN Matthias;
Division 2;Saison régulière;28/10/2023;20:30;Valence - Le Polygone;82021 - V.H.G. Valence / 73002 - TOULOUSE BLAGNAC;M POPA Adrian;M BARTHE Guillaume;;;;M NEURAZ Steven;
Division 3;Saison régulière;28/10/2023;20:30;Compiègne - patinoire municipale;"22002 - HCC Compiègne D3 / 11001 - Tigres de l'ACBB ""D3""";;;M KOUROUMA Sakoba;;;;M STURM Jérôme
U17 Excellence;Saison régulière zone Sud-est;29/10/2023;11:00;Saint-Gervais;E0003 - HC 74 / E0073 - HC SAVOIE;;;M MEUNIER Pascal;;;;M BRONDEX Eric
U17 Elite;Saison régulière;29/10/2023;11:15;Grenoble - Polesud;82007 - BRÛLEURS DE LOUPS U17 ELITE / 52007 - ANGERS U17 ELITE;M GRABIT Alexis;M BERNOUSSI Rayan;;;;M TCHEKACHEV David;
U17 Elite;Saison régulière;29/10/2023;11:45;Rouen - Île Lacroix;23001 - Rouen U17 / E0003 - HC74 U17 Elite;M DOUCHY Jérémie;Mme BOURDON Gaëlle;;;;M THORRIGNAC Lancelot;
U17 Elite;Saison régulière;29/10/2023;12:45;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE / E0031 - MHC-ACBB U17 Elite;;;M MOUILLERON Stéphane;;;;M BECRET Félicien
U20 Excellence;Zone Nord-est HDF;29/10/2023;13:20;Amiens - Le Coliseum;22001 - AMIENS / E0223 - COMPIEGNE-VALENCIENNES;;;M MALTAVERNE Christian;;;;M THOMAS David
U20 Elite;Saison régulière;29/10/2023;15:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / E0003 - HC74 U20 Elite;M BISPO Romain;M VILLARD Vincent;;;;M GERMOND Matteo;
Synerglace Ligue Magnus;Saison régulière;29/10/2023;17:00;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 52007S - 52007S LES DUCS D'ANGERS;M BOURREAU Alexandre;M CONSTANTINEAU Nicolas;;;M SCOLARI Benjamin;M MARGRY Gwilherm;
U20 Elite;Saison régulière;29/10/2023;17:00;Amiens - Le Coliseum;22001 - HCAS U20 / 11013 - CERGY-PONTOISE;M PERONNIN Stéphane;M FAFRED Bastien;;;;M LE MONNIER Julien;
U20 Elite;Saison régulière;29/10/2023;18:00;Épinal - Poissompré;41002 - U20 Elite Epinal / 52005 - U20 Eli Corsaires de Nantes;M ROMMEVAUX Mikaël;M AMAN Matthias;;;;M FLEURY Louis;
U17 Elite;Saison régulière;29/10/2023;18:30;Evry - François Le Comte (Agora);11025 - 11025 EVH91 U17 Elite / E0161 - ENTENTE FLANDRES 59;;;M ROCHIER Philippe;;;;M STURM Jérôme
Championnat féminin sénior;Saison régulière;29/10/2023;18:30;Neuilly-sur-Marne - Patinoire municipale;11015 - Féminines Neuilly sur Marne / 11013 - Cergy Pontoise FEMININES;;;M DUVILLE Guillaume;;;;
U20 Elite;Saison régulière;29/10/2023;18:40;Lyon - Charlemagne;E0123 - HCLR U20 / E0161 - ENTENTE FLANDRES 59;M POPA Adrian;M FONTAINE Gildas;;;;M BERGAMELLI Enzo;
U20 Elite;Saison régulière;29/10/2023;18:45;Caen La Mer;25001 - Caen U20 Elite / 72001 - ANGLET HORMADI U20 ELITE;M SALMON Charles Edouard;M PERONNIN Théo;;;;M MAILLARD Hugo;
U20 Elite;Saison régulière;29/10/2023;18:45;Strasbourg - Iceberg;42003 - Strasbourg U20 élite / 52007 - ANGERS U20 ELITE;M TURBERT Cédric;M KIRSCHENBAUM Johan;;;;M LELIEVRE Thibault;
U20 Elite;Saison régulière;29/10/2023;18:55;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U20 Elite / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M GARBAY Laurent;M BRAUD Tao;;;;M THIERCY Damien;
Synerglace Ligue Magnus;Saison régulière;29/10/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 93019S - MARSEILLE HOCKEY CLUB;M CREGUT Nicolas;M GONCALVES Clément;;;M LEVASSEUR Sébastien;M UGOLINI Quentin;
U20 Elite;Saison régulière;29/10/2023;20:30;Grenoble - Polesud;82007S - U20 Bruleurs de Loups Grenoble / 93006S - GAP;M GEORGE Yohan;M SALICIO Olivier;;;;M BERGAMELLI Viny;
U15;IdF-HdF-Ndie Saison régulière;30/10/2023;18:45;Amiens - Le Coliseum;22001 - AMIENS / 25001 - CAEN;;;;;;;
U17 Elite;Saison régulière;30/10/2023;18:50;Gap - Alp'Arena;93006 - RAPACES DE GAP U17 / 52007 - ANGERS U17 ELITE;M GRABIT Alexis;M AUMERAS Benjamin;;;;M EDERY Frédéric;
Division 1;Saison régulière;31/10/2023;18:40;Valenciennes - Valigloo;31004 - D2 Valenciennes / 11019 - Comètes de Meudon D1;M FROSSARD Philippe;M KIRSCHENBAUM Johan;;;M GEOFFROY Sébastien;M MESSIER Nicolas;
U17 Elite;Saison régulière;31/10/2023;19:05;Clermont-Ferrand;E0123 - HCLR U17 / E0031 - MHC-ACBB U17 Elite;M GEORGE Yohan;M EDERY Frédéric;;;;M TCHEKACHEV David;
Division 1;Saison régulière;31/10/2023;19:30;Le Palais Megève;E0066 - Mont-Blanc les Yetis / 11015 - NEUILLY SUR MARNE DIVISION 1;M TURBERT Cédric;Mme BONIFACE Anne-Sophie;;;;M BAUDRY Florian;
Synerglace Ligue Magnus;Saison régulière;31/10/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 72003S - Boxers de Bordeaux;M BARCELO Geoffrey;M CREUX-BEAUGIRAUD Yohann;;M HURTH Fabrice;M ROHWEDDER Raphaël;M GONCALVES Clément;
Division 1;Saison régulière;31/10/2023;20:00;Cholet - Glisséo;52002 - DOGS DE CHOLET / E0231 - DUNKERQUE;M METAIS Jérémy;M HONORE Romain;;;;M THIBOUVILLE Enguerrand;
Division 1;Saison régulière;31/10/2023;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 1 / 41002 - Division 1 Epinal;M GASNIER Mickaël;M SALMON Charles Edouard;;;;Mme TORRIBIO ROUSSELIN Sueva;
Synerglace Ligue Magnus;Saison régulière;31/10/2023;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 11013S - LES JOKERS SLM;M LEVASSEUR Sébastien;M BIOT Thiefen;;;M PEYRE Julien;M CONSTANTINEAU Nicolas;
Synerglace Ligue Magnus;Saison régulière;31/10/2023;20:15;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BLIEK Damien;M DEBUCHE Cyril;;;M ERNECQ Adrien;M FAUVEL Johan;
Synerglace Ligue Magnus;Saison régulière;31/10/2023;20:15;Amiens - Le Coliseum;22001S - AMIENS HOCKEY ELITE / 93006S - RAPACES DE GAP;M BOURREAU Alexandre;M SIMON Thomas;;;M RAULINE Jérémy;M DOUCHY Jérémie;
Division 1;Saison régulière;31/10/2023;20:30;Caen La Mer;25001 - Caen Division 1 / 53001 - Brest Division 1;M FESSIER Samuel;M BAUDOIN Charles;;M BOCQUET Didier;;M CADY Quentin;
Synerglace Ligue Magnus;Saison régulière;31/10/2023;20:30;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 93008S - NICE SLM;M GARBAY Laurent;Mme CHEYROUX Alexia;;;M CREGUT Nicolas;M GIELLY Guillaume;
U20 Excellence;Zone sud-est;01/11/2023;13:15;Grenoble - Polesud;E0194 - VAUJANY - GRENOBLE / E0123 - HCLR;;;M HAGOPIAN Didier;;;;M VAISSAIRE Laurent
Division 1;Saison régulière;01/11/2023;20:30;Morzine - Skoda Arena;E0065 - HCMA D1 / 52005 - D1 Corsaires de Nantes;M PEURIERE Frédéric;M TCHEKACHEV David;;;;M AUMERAS Benjamin;
U20 Elite;Saison régulière;02/11/2023;18:20;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U20 Elite / E0078 - Occitanie Elite U20;M GARBAY Laurent;M HASPOT David;;;;M BRAUD Tao;
U20 Elite;Saison régulière;02/11/2023;19:15;Cergy - Aren'Ice;11013 - CERGY-PONTOISE / 52005 - U20 Eli Corsaires de Nantes;M PERONNIN Stéphane;M FAFRED Bastien;;;;M LE MONNIER Julien;
U20 Elite;Saison régulière;02/11/2023;19:20;Villard-de-Lans - André Ravix;82022 - 82022 LES OURS DE VILLARD DE LANS U20 / E0118 - Entente Alsace Mulhouse Colmar U20 Elite;M ROBERT Florian;M AUMERAS Benjamin;;;;M BERGAMELLI Enzo;
U20 Elite;Saison régulière;02/11/2023;19:55;Amiens - Le Coliseum;22001 - HCAS U20 / E0161 - ENTENTE FLANDRES 59;M BISPO Romain;M FLEURY Louis;;;;M THORRIGNAC Lancelot;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 23001S - 23001S ROUEN HOCKEY ELITE 76;M BARBEZ Nicolas;M CONSTANTINEAU Nicolas;;;M BARCELO Geoffrey;M BIOT Thiefen;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:15;Palais Omnisports Marseille Grand-Est (POMGE);93019S - MARSEILLE HOCKEY CLUB / E0082 - CHAMONIX SLM;M HAUCHART Alexandre;M MARGRY Gwilherm;;M HURTH Fabrice;M BOURREAU Alexandre;M GIELLY Guillaume;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 22001S - AMIENS HOCKEY ELITE;M FURET Yann;M DEBUCHE Cyril;;M AVAVIAN Julien;Mme SILLIARD Maud;M HURTH Fabrice;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:15;Bordeaux - Mériadeck;72003S - Boxers de Bordeaux / 52007S - 52007S LES DUCS D'ANGERS;M GARBAY Laurent;M BARTHE Guillaume;;;M PEYRE Julien;M LABOULAIS Maxime;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 72001S - ANGLET HORMADI Ligue MAGNUS;M LEVASSEUR Sébastien;M YSSEMBOURG Joffrey;;;M ERNECQ Adrien;M FAUVEL Johan;
Synerglace Ligue Magnus;Saison régulière;03/11/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 93003S - Diables Rouges Briançon 93003;M CREGUT Nicolas;M ZEDE Vincent;;;M BLIEK Damien;M GONCALVES Clément;
U17 Excellence;Saison régulière zone Sud-est;04/11/2023;11:30;Lyon - Charlemagne;E0123 - HCLR / E0073 - HC SAVOIE;;;M BRONDEX Eric;;;;M HAGOPIAN Didier
Championnat féminin sénior;Saison régulière;04/11/2023;12:00;Bordeaux - Mériadeck;E0021 - Bordeaux-Anglet / 52005 - Féminines Elite Les Flibustières;;;M BRUNEAU Gérald;;;;
U17 Elite;Saison régulière;04/11/2023;15:35;Amiens - Le Coliseum;22001 - HCAS U 17 / E0003 - HC74 U17 Elite;M HERRAULT Romain;M PITROU Thomas;;;;M GISSLER Louis;
U17 Elite;Saison régulière;04/11/2023;17:35;Patinoire André RAVIX;82022 - 82022 LES OURS DE VILLARD DE LANS / 82007 - BRÛLEURS DE LOUPS U17 ELITE;M ROMMEVAUX Mikaël;M BERGAMELLI Enzo;;;;M HALLADJ Farid;
Division 3;Saison régulière;04/11/2023;17:40;Brive - patinoire municipale;74001 - BRIVE / 53006 - D3 - Rennes;;;M MEUNIER Pascal;;;;M POUSSIERE Jonathan
Division 2;Saison régulière;04/11/2023;18:00;Amnéville - Patinoire Olympique;41004 - Division 2 Amneville / 11009 - D2 Courbevoie;M LE BERRE Frédéric;M AMAN Matthias;;;;M FLEURY Louis;
Championnat féminin sénior;Saison régulière;04/11/2023;18:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS / E0084 - Rafales;;;M PIEDIGROSSI Nicolas;;;;
Division 1;Saison régulière;04/11/2023;18:00;Strasbourg - Iceberg;E0127 - Strasbourg Etoile Noire / 25001 - Caen Division 1;M GERMANEAUD Bastien;M SMEECKAERT Aurélien;;M DURAND Gilles;;Mme BONIFACE Anne-Sophie;
Division 1;Saison régulière;04/11/2023;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 31004 - D2 Valenciennes;M METAIS Jérémy;M BAUDOIN Charles;;;;M SIMON Thomas;
Division 1;Saison régulière;04/11/2023;18:05;Épinal - Poissompré;41002 - Division 1 Epinal / 52002 - DOGS DE CHOLET;M AURAT Florian;M COLLIN Jérémie;;;;M KIRSCHENBAUM Johan;
Division 3;Saison régulière;04/11/2023;18:10;Avignon - Patinoire municipale;93016 - Les Castors d'Avignon / 93008 - NICE D3;;;M VAISSAIRE Laurent;;;;M PONCOT Yohann
Division 3;Saison régulière;04/11/2023;18:10;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux D3 / 52005 - Corsaires de Nantes 2;;;M BRUNEAU Gérald;;;;M PETITOUT Matthieu
Division 1;Saison régulière;04/11/2023;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / E0066 - Mont-Blanc les Yetis;M GEOFFROY Sébastien;M TRONET Pierre;;;;M CREUX-BEAUGIRAUD Yohann;
Division 3;Saison régulière;04/11/2023;18:15;Mulhouse - Illberg;E0119 - Mulhouse Entente Alsace / 11025 - EVH 91;;;M BERGERON Nicolas;;;;M LELIEVRE Thibault
U17 Elite;Saison régulière;04/11/2023;18:30;Courbevoie - Thierry Monier;11009 - u17 Elite COURBEVOIE / E0123 - HCLR U17;M BISPO Romain;M PERONNIN Théo;;;;M MAILLARD Hugo;
Division 3;Saison régulière;04/11/2023;18:30;Champigny-sur-Marne - patinoire municipale;11030 - Champigny HC / 11005 - Caribous de Dammarie-lès-Lys;;;M EGGERMONT Andy;;;;M KOUROUMA Sakoba
U17 Elite;Saison régulière;04/11/2023;18:30;Boulogne-Billancourt;E0031 - MHC-ACBB U17 Elite / E0032 - Entente Alsace U17 Elite;M LAPAQUE François;M PICARD Gabriel;;;;Mme BOURDON Gaëlle;
U17 Elite;Saison régulière;04/11/2023;18:30;Viry-Chatillon - Patinoire des Lacs de l'Essonne;11025 - 11025 EVH91 U17 Elite / 72001 - ANGLET HORMADI U17 ELITE;M PERONNIN Stéphane;M ANDRIANASOLO Louis;;;;M LEFEVRE Hugo;
Division 3;Saison régulière;04/11/2023;18:40;Wasquehal - Serge Charles;E0230 - WASQUEHAL / 11013 - Cergy Pontoise D3;;;M DUVILLE Guillaume;;;;M ROCHIER Philippe
Division 2;Saison régulière;04/11/2023;19:00;Vaujany - Patinoire du pôle sports et loisirs;E0122 - VAUJANY-GRENOBLE / 91003 - Vipers D2;M BARCELO Joris;M DONAT-MAGNIN Alexandre;;;;M TCHEKACHEV David;
Championnat féminin sénior;Saison régulière;04/11/2023;19:15;Lyon - Charlemagne;82015 - Lyon féminine / 82007 - BRÛLEURS DE LOUPS FÉMININES ELITE;;;M HAGOPIAN Didier;;;;
Division 1;Saison régulière;04/11/2023;19:30;Dunkerque - Michel Raffoux;E0231 - DUNKERQUE / 24007 - LES REMPARTS DE TOURS Division 1;M FROSSARD Philippe;M MESSIER Nicolas;;M BOCQUET Didier;M LEVASSEUR Sébastien;M THIBOUVILLE Enguerrand;
Division 2;Saison régulière;04/11/2023;19:30;Reims - Albert 1er;21005 - REIMS / 22001S - 22001S AMIENS 2;M GEORGE Yohan;M THORRIGNAC Lancelot;;M ROUSSELIN Stéphane;;M DEBUCQUET Antoine;
Division 3;Saison régulière;04/11/2023;19:30;Patinoire des Courtilles;11003 - ASNIERES DIVISION 3 / 24004 - Orléans Division 3;;;M HATTON Thomas;;;;M DEHONT Anthony
Division 2;Saison régulière;04/11/2023;19:30;Blagnac Toulouse - Jacques Raynaud;73002 - TOULOUSE BLAGNAC / 82015 - LYON DIVISION 2;M POPA Adrian;M THIERCY Damien;;;;M CADY Quentin;
Division 1;Saison régulière;04/11/2023;20:00;Chambéry - Patinoire d'Agglomération;82004S - Éléphants CHAMBERY D1 / E0065 - HCMA D1;M ICARD Damien;M ZEDE Vincent;;;;M GONCALVES Clément;
Division 1;Saison régulière;04/11/2023;20:00;Brest - Rïnkla Stadium;53001 - Brest Division 1 / 11015 - NEUILLY SUR MARNE DIVISION 1;M GASNIER Mickaël;M HONORE Romain;;;;M DOUCHY Jérémie;
U17 Elite;Saison régulière;04/11/2023;20:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 72003 - Boxers de Bordeaux U17 Elite;M TELLIEZ Pascal;M FAFRED Bastien;;;;M CAILLOT Thomas;
U17 Excellence;Zone ouest saison régulière;04/11/2023;20:00;Toulouse - Alex JANY;E0078 - OCCITANIE / 52007 - ANGERS;;;M SALVADOR Alexandre;;;;M HEMMERY Frédéric
Division 2;Saison régulière;04/11/2023;20:10;Rouen - Île Lacroix;23001 - Rouen Division 2 / E0041 - Titans D2;M FESSIER Samuel;M TOCQUEVILLE Florian;;;;M MAUDET Timothée;
Division 3;Saison régulière;04/11/2023;20:15;Dijon - Trimolet;26004 - DIJON MHC Division 3 / 93012 - D3 Toulon;;;M POIZAT Jérémie;;;;M CATARINO Jean
Division 2;Saison régulière;04/11/2023;20:30;Villard-de-Lans - André Ravix;82022 - VILLARD DE LANS / E0240 - HCMP;M PEURIERE Frédéric;Mme TORRIBIO ROUSSELIN Sueva;;;;M AUMERAS Benjamin;
Division 3;Saison régulière;04/11/2023;20:30;Caen La Mer;25001 - Caen Division 3 / 22002 - HCC Compiègne D3;;;M MAILLARD Jean Baptiste;;;;M MALTAVERNE Christian
Division 2;Saison régulière;04/11/2023;20:30;Clermont-Ferrand;83001 - HCCA Les Sangliers Arvernes / 82018 - ROANNE D2;M GARDIOL Guillaume;M FONTAINE Gildas;;;;M DELSARTE Alban;
Division 3;Saison régulière;04/11/2023;20:30;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 3 / 11014 - Garges Hockey Club D3;;;M CORREIA Aurélien;;;;M GARCIA LIMA Guido
Division 2;Saison régulière;04/11/2023;20:30;Valence - Le Polygone;82021 - V.H.G. Valence / 82028 - Annecy Division 2;M TURBERT Cédric;Mme CHEYROUX Alexia;;;;M MERCIER-LANDRY Pierre;
U17 Excellence;Saison régulière zone Sud-est;05/11/2023;12:00;Clermont-Ferrand;E0123 - HCLR / 82028 - ANNECY;;;M CATARINO Jean;;;;M HAGOPIAN Didier
U20 Excellence;Zone ouest conférence B;05/11/2023;12:00;Brive - patinoire municipale;E0226 - BRIVE - BORDEAUX - FONT ROMEU / 74003 - ASPTT Limoges U20;;;M POUSSIERE Jonathan;;;;M MEUNIER Pascal
Championnat féminin sénior;Saison régulière;05/11/2023;12:15;Dunkerque - Michel Raffoux;E0232 - FLANDRES / 11025 - 11025 EVH91 Féminines;;;M BAUERLE Damien;;;;
U15;Zone Ouest conférence B;05/11/2023;12:30;Rennes - Le Blizz;E0228 - RENNES / 52007 - ANGERS U15 B;;;;;;;
Championnat féminin sénior;Saison régulière;05/11/2023;12:30;Bordeaux - Mériadeck;E0021 - Bordeaux-Anglet / 52005 - Féminines Elite Les Flibustières;;;M ELBAZE Nicolas;;;;
Division 3;Saison régulière;05/11/2023;12:40;Besançon - Lafayette;43002 - BESANÇON / 93012 - D3 Toulon;;;M GIRARD Steeve;;;;M PONCOT Yohann
U17 Elite;Saison régulière;05/11/2023;12:45;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE / 72003 - Boxers de Bordeaux U17 Elite;;;M THOMAS David;;;;M MARCHAND Antoine
Championnat féminin sénior;Saison régulière;05/11/2023;12:45;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS / E0084 - Rafales;;;M HATTON Thomas;;;;
U17 Elite;Saison régulière;05/11/2023;12:45;Wasquehal - Serge Charles;E0161 - ENTENTE FLANDRES 59 / 41002 - EPINAL;;;M EGGERMONT Andy;;;;M ROCHIER Philippe
Division 3;Saison régulière;05/11/2023;17:55;Villard-de-Lans - André Ravix;82022 - 82022 les Ours de Villard de lans / E0073 - HC SAVOIE;;;M EDERY Frédéric;;;;M GRANDGIRARD Reynald
U20 Elite;Saison régulière;05/11/2023;18:00;Morzine - Skoda Arena;E0003 - HC74 U20 Elite / 72003 - Boxers de Bordeaux U20 Elite;M ROBERT Florian;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
U20 Elite;Saison régulière;05/11/2023;18:15;Anglet - La Barre;72001 - ANGLET HORMADI U20 ELITE / 11013 - CERGY-PONTOISE;M POPA Adrian;M THIERCY Damien;;;;M VILLARD Vincent;
Division 1;Saison régulière;07/11/2023;20:00;Strasbourg - Iceberg;E0127 - Strasbourg Etoile Noire / 82004S - Éléphants CHAMBERY D1;M TURBERT Cédric;M BAUDRY Florian;;;;M THORRIGNAC Jason;
Internationaux;Tournoi 4 nations (Vaujany);09/11/2023;16:00;Vaujany - Patinoire du pôle sports et loisirs;11111 - SLOVAQUIE U18 FEM / 11111 - EN Hongrie U18 Fem;M PEURIERE Frédéric;Mme BOURDON Gaëlle;;;;Mme PERONNIN Laura;
Internationaux;Tournoi 4 nations (Vaujany);09/11/2023;19:30;Vaujany - Patinoire du pôle sports et loisirs;11111 - EDF U18 Fem / 11111 - Italie U18 Fem;M ROMMEVAUX Mikaël;Mme CHEYROUX Alexia;;;;M UGOLINI Quentin;
Internationaux;Tournoi 4 nations (Vaujany);10/11/2023;16:00;Vaujany - Patinoire du pôle sports et loisirs;11111 - SLOVAQUIE U18 FEM / 11111 - Italie U18 Fem;M METAIS Jérémy;Mme BOURDON Gaëlle;;;;M AUMERAS Benjamin;
Division 1;Saison régulière;10/11/2023;20:00;Cholet - Glisséo;52002 - DOGS DE CHOLET / 52005 - D1 Corsaires de Nantes;M BARCELO Joris;M HONORE Romain;;;;M BAUDOIN Charles;
Internationaux;Tournoi 4 nations (Vaujany);10/11/2023;20:00;Vaujany - Patinoire du pôle sports et loisirs;11111 - EDF U18 Fem / 11111 - EN Hongrie U18 Fem;M PEURIERE Frédéric;Mme PERONNIN Laura;;;;M DONAT-MAGNIN Alexandre;
